schemaname,tablename,policyname,permissive,roles,cmd,using_condition,check_condition
public,allergies,Clinicians can insert allergies,PERMISSIVE,{authenticated},INSERT,null,"((created_by = auth.uid()) OR (EXISTS ( SELECT 1
   FROM patients
  WHERE ((patients.id = allergies.patient_id) AND (patients.clinician_id = auth.uid())))))"
public,allergies,Clinicians can update allergies,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM patients
  WHERE ((patients.id = allergies.patient_id) AND ((patients.clinician_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM patient_shares
          WHERE ((patient_shares.patient_id = patients.id) AND (patient_shares.shared_with = auth.uid()))))))))",null
public,appointments,Clinicians can insert appointments,PERMISSIVE,{authenticated},INSERT,null,((created_by = auth.uid()) OR (clinician_id = auth.uid()))
public,appointments,Clinicians can update appointments,PERMISSIVE,{authenticated},UPDATE,"((EXISTS ( SELECT 1
   FROM patient_shares ps
  WHERE ((ps.patient_id = appointments.patient_id) AND (ps.shared_with = auth.uid()) AND (ps.permission_level = ANY (ARRAY['write'::permission_level, 'full'::permission_level]))))) OR (clinician_id = auth.uid()))",null
public,appointments,Clinicians can update own appointments,PERMISSIVE,{authenticated},UPDATE,(clinician_id = auth.uid()),(clinician_id = auth.uid())
public,appointments,Clinicians can view appointments,PERMISSIVE,{authenticated},SELECT,"((EXISTS ( SELECT 1
   FROM patient_shares ps
  WHERE ((ps.patient_id = appointments.patient_id) AND (ps.shared_with = auth.uid())))) OR (clinician_id = auth.uid()))",null
public,appointments,Clinicians can view appointments for their patients,PERMISSIVE,{authenticated},SELECT,"((clinician_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM patients
  WHERE ((patients.id = appointments.patient_id) AND ((patients.clinician_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM patient_shares ps
          WHERE ((ps.patient_id = patients.id) AND (ps.shared_with = auth.uid()) AND ((ps.expires_at IS NULL) OR (ps.expires_at > now()))))))))))",null
public,clinicians,Clinicians can read own profile,PERMISSIVE,{authenticated},SELECT,(id = ( SELECT auth.uid() AS uid)),null
public,clinicians,Clinicians can update own profile,PERMISSIVE,{authenticated},UPDATE,(id = ( SELECT auth.uid() AS uid)),(id = ( SELECT auth.uid() AS uid))
public,clinicians,Clinicians insert,PERMISSIVE,{authenticated},INSERT,null,(id = ( SELECT auth.uid() AS uid))
